norgine,2010-03-01,Hunter Postgraduate Medical Institute Journal Club 10 February 2010 1 hour. Presentation and discussion on Bowel Care; including bowel care management; chronic constipation and faecal impaction. Discuss treatment and prevention. Discussion between doctors at Charlestown Journal Club. This event was organised by the conference organising committee and Norgine was not responsible for inviting the attendees or organising the meeting.,Charelstown Library Meeting Facilities; Cnr Smith & Ridley Sts; Charlestown NSW 2290,General Practitioners,Light lunch during working hours. Food and beverage; no alcohol.,24,144.00,144,$144,$144.00,0,0,1,0,0,0,0,6
norgine,2010-03-01,3rd Annual Westmead Endoscopy Symposium 4th & 5th March 2010 16 Hours. 380 attendees. Educational symposium on diagnostic and therapeutic advances in Endsocopy medicine including colonoscopy techniques. Presentations and discussions on colonoscopy including bowel cleansing and preparation for procedure. Norgine paid the registration fee for one attendee. This event was organised by the conference organising committee and Norgine was not responsible for inviting the attendees or organising the meeting.,Westmead Hospital; Lowenthal Auditorium; Cnr Hawkesbury & Darcy Roads; Westmead NSW 2145,Gastroenterology Specialists; Nurses; Endoscopy Clinicians; Nurse Unit Manager,Attendance fee for symposium and return air travel for 1 attendee,1,511,211,$211,$511,1,0,0,0,0,0,0,511
novo,2010-03-01,1 hour presentation on clinical data in diabetes and starting insulin,Princess Margaret Hospital Subiaco WA,Endocrinologists; Endocrine Registrars; Diabetes Educators; Nurses; Dietitians; Psychologist,Fruit and sandwiches with non alcoholic drinks provided,34,229.36,229.36,$229.36,$229.36,1,0,0,0,0,0,0,7
novo,2010-03-01,1 hour presentation on updates in haemostasis management,Royal Prince Alfred Hospital Camperdown NSW,Haematologists; Haematology Registrars; Nurses; Pharmacists,Light lunch with non alcoholic drinks provided,35,304.36,304.36,$304.36,$304.36,1,1,0,0,0,0,0,9
novo,2010-03-01,1.5 hour presentation on management of diabetes Novo Nordisk contributed to sponsorship of the meeting This event was organised by the Sunshine Coast Division of General Practice and Novo Nordisk was not responsible for inviting the attendees or organising the educational content; the hospitality; accommodation or travel.,Kingston House Gympie QLD,GPs,3 course meal with alcoholic and non alcoholic drinks provided in private area,23,862.27,862.27,$862.27,Novo Nordisk sponsored the event. This involved the payment of $862.27 for hospitality.,0,0,1,0,0,0,0,37
novo,2010-03-01,1 hour presentation on optimising and titrating insulin in type 2 diabetes Novo Nordisk contributed to sponsorship of the local area group meeting This event was organised by the Sunshine Coast Division of General Practice and Novo Nordisk was not responsible for inviting the attendees or organising the educational content; the hospitality; accommodation or travel.,Moondoggy's Café Noosaville QLD,GPs,Breakfast with non alcoholic drinks provided in private area,14,166.90,166.90,$166.90,Novo Nordisk sponsored the event. This involved the payment of $166.90 for hospitality.,0,0,1,0,0,0,0,12
novo,2010-03-01,1 hour presentation on clinical data in diabetes,Box Hill Hospital Box Hill VIC,Endocrinologists; Diabetes Educators; Dietitians; Podiatrists,Breakfast with non alcoholic drinks provided,15,177.27,177.27,$177.27,$177.27,0,0,0,0,0,0,1,12
novo,2010-03-01,3.5 hours education; topics included diabetic ketoacidosis and hyperosmolar non ketotic syndrome; the diabetic foot; insulin pumps and islet cell transplants Novo Nordisk contributed to sponsorship of the diabetes twilight meeting This event was organised by St Vincent's Private Hospital and Novo Nordisk was not responsible for inviting the attendees or organising the educational content; the hospitality; accommodation or travel.,St Vincent's Private Hospital Fitzroy VIC,Endocrinologists; Diabetes Educators; Nurses; Physicians,Fruit and sandwiches with non alcoholic drinks provided,40,316.59,316.59,$316.59,Novo Nordisk sponsored the event. This involved the payment of $316.59 for hospitality.,1,0,0,0,0,0,0,8
novo,2010-03-01,Changing Diabetes From Theory to Practice Workshop Module 1: Understanding the ins and outs of diabetes management in primary care 6.5 hours education Presentations included; Epidemiologology of Diabetes and Insulin resistance; Barriers to achieving targets; Lifestyle and drug intervention; Insulin devises and glucose monitoring; Co-ordinating treatment and best practice and Insulin and best practice for initiation 40 category 1 RACGP points allocated,Fenix Conference & Reception Centre Richmond VIC,Endocrinologists; Diabetes Educators; GPs; Dietitians,Morning tea; buffet lunch with non alcoholic drinks provided & afternoon tea,53,9237.95,3970.98,$3;970.98,$9;237.95,0,0,1,0,0,0,0,174
novo,2010-03-01,Western Region Diabetes Special Interest Group Meeting 1 hour presentation on managing multiple issues in person with type 2 diabetes Novo Nordisk contributed to sponsorship of the meeting This event was organised by the Western Region Special Interest Group and Novo Nordisk was not responsible for inviting the attendees or organising the educational content; the hospitality; accommodation or travel.,Hamilton Base Hospital Hamilton VIC,Diabetes Educators,Fruit and sandwiches with non alcoholic drinks provided,8,101.54,101.54,$101.54,Novo Nordisk sponsored the event. This involved the payment of $101.54 for hospitality.,0,0,0,0,0,0,1,13
